school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G3_pass_fail,G3_five_levels,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other
1,0,0.9965828815425855,1,0,1,0.21279751453954526,-0.526843621141925,-0.6463150488057398,1.1942262668525014,-0.45841292582040266,0,0,0,0,1,1,1,1,1.172892949595128,0.751571118451196,-0.06915187103915124,0.546176755272979,0.5448730963940855,-1.8310828175512595,0.15484284353307473,13,13,14,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,0.9965828815425855,1,1,0,1.1507865588914878,1.3309733586743373,-0.6463150488057398,-0.029216544754801007,-0.45841292582040266,0,1,1,1,1,1,1,0,1.172892949595128,0.751571118451196,-0.06915187103915124,-0.5560474195249003,-1.015233632597527,-1.1136410118440407,0.4066503803465701,15,13,15,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1,0,-0.5490433467757753,1,0,1,1.1507865588914878,1.3309733586743373,-0.6463150488057398,-1.2526593563621033,-0.45841292582040266,0,1,0,0,1,1,1,0,0.06295188147544474,0.751571118451196,0.8218433904268344,-0.5560474195249003,-0.2351802681017208,-1.1136410118440407,-0.2228684616871683,14,14,14,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,1,-0.5490433467757753,0,0,1,-0.7251915298123972,-0.526843621141925,2.221440465762774,-1.2526593563621033,-0.45841292582040266,0,0,0,0,0,1,0,0,0.06295188147544474,-1.2546147355818766,-0.9601471325051368,-0.5560474195249003,-0.2351802681017208,-0.39619920613682225,-0.47467599850066367,17,15,15,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0.22376976738340515,1,1,1,-0.7251915298123972,-0.526843621141925,-0.6463150488057398,2.4176690784598036,-0.45841292582040266,0,0,1,1,1,1,1,1,-1.0469891866442382,0.751571118451196,-1.8511423939711225,-0.5560474195249003,-1.015233632597527,-1.1136410118440407,-0.726483535314159,10,9,0,0,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,1,-0.5490433467757753,1,1,1,1.1507865588914878,0.4020648687662061,-0.6463150488057398,-0.029216544754801007,-0.45841292582040266,0,1,1,1,1,1,1,0,1.172892949595128,0.751571118451196,-0.9601471325051368,-0.5560474195249003,-0.2351802681017208,1.038684405277615,0.5325541487533177,15,15,15,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0,0.9965828815425855,1,0,1,-0.7251915298123972,-0.526843621141925,-0.6463150488057398,1.1942262668525014,-0.45841292582040266,0,1,1,0,1,1,1,0,0.06295188147544474,-0.2515218085653404,-0.06915187103915124,-0.5560474195249003,-0.2351802681017208,-1.1136410118440407,-0.09696469328042062,18,18,19,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,1,1.7693959957017658,0,0,1,0.21279751453954526,0.4020648687662061,-0.6463150488057398,-0.029216544754801007,0.9376628028144599,0,0,0,1,1,1,0,1,0.06295188147544474,1.7546640454677322,-0.06915187103915124,-0.5560474195249003,-0.2351802681017208,1.038684405277615,-0.726483535314159,15,12,12,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1,0,0.22376976738340515,1,0,0,1.1507865588914878,1.3309733586743373,0.7875627084785171,-0.029216544754801007,-0.45841292582040266,1,1,0,0,1,1,0,0,0.06295188147544474,-2.257707662598413,0.8218433904268344,-0.5560474195249003,-1.015233632597527,-1.8310828175512595,0.028939075126327055,6,5,6,0,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0.22376976738340515,1,0,1,1.1507865588914878,1.3309733586743373,-0.6463150488057398,1.1942262668525014,-0.45841292582040266,0,1,1,1,1,1,1,0,1.172892949595128,0.751571118451196,0.8218433904268344,-0.5560474195249003,0.5448730963940855,0.32124259957039636,0.15484284353307473,10,9,9,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,0,-1.3218564609349557,0,1,1,-0.7251915298123972,-0.526843621141925,0.7875627084785171,-0.029216544754801007,-0.45841292582040266,1,1,1,0,1,1,1,0,0.06295188147544474,-2.257707662598413,-0.06915187103915124,-0.5560474195249003,0.5448730963940855,0.32124259957039636,-0.47467599850066367,8,9,8,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1,1,-1.3218564609349557,1,0,1,1.1507865588914878,0.4020648687662061,-0.6463150488057398,-0.029216544754801007,-0.45841292582040266,0,0,0,0,1,1,1,0,0.06295188147544474,0.751571118451196,-1.8511423939711225,-0.5560474195249003,-1.015233632597527,-1.8310828175512595,-0.726483535314159,13,14,15,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
1,1,-0.5490433467757753,1,0,1,1.1507865588914878,1.3309733586743373,-0.6463150488057398,-1.2526593563621033,-0.45841292582040266,1,1,1,1,1,1,1,0,0.06295188147544474,1.7546640454677322,1.71283865189282,3.8528492796666174,2.104979825385698,0.32124259957039636,1.0361692223803085,7,7,5,0,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0.9965828815425855,1,0,1,-1.6631805741643397,-1.4557521110500562,0.7875627084785171,-0.029216544754801007,0.9376628028144599,0,0,0,1,1,1,0,0,-3.2668713228836044,-2.257707662598413,-1.8511423939711225,-0.5560474195249003,-1.015233632597527,1.038684405277615,-0.726483535314159,6,5,0,0,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0.9965828815425855,0,0,0,0.21279751453954526,-0.526843621141925,0.7875627084785171,-0.029216544754801007,-0.45841292582040266,0,0,0,0,0,0,1,1,0.06295188147544474,-2.257707662598413,-1.8511423939711225,-0.5560474195249003,-1.015233632597527,1.038684405277615,8.716299095191916,10,9,9,0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,1,-1.3218564609349557,1,0,1,1.1507865588914878,0.4020648687662061,0.7875627084785171,2.4176690784598036,-0.45841292582040266,1,1,0,0,1,1,1,0,-2.1569302547639215,-1.2546147355818766,-0.9601471325051368,-0.5560474195249003,-1.015233632597527,-0.39619920613682225,-0.726483535314159,7,9,0,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,0,-1.3218564609349557,1,0,1,1.1507865588914878,1.3309733586743373,-0.6463150488057398,1.1942262668525014,-0.45841292582040266,0,1,1,1,1,1,1,0,0.06295188147544474,-1.2546147355818766,-0.9601471325051368,-0.5560474195249003,-1.015233632597527,1.038684405277615,-0.47467599850066367,9,11,11,1,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1,1,2.5422091098609463,1,0,0,0.21279751453954526,-0.526843621141925,-0.6463150488057398,-1.2526593563621033,-0.45841292582040266,0,0,0,1,1,1,0,0,1.172892949595128,1.7546640454677322,-0.06915187103915124,-0.5560474195249003,-1.015233632597527,1.038684405277615,-0.726483535314159,17,18,18,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,-1.3218564609349557,1,0,1,0.21279751453954526,-0.526843621141925,-0.6463150488057398,-0.029216544754801007,3.729814260084185,0,1,0,0,1,1,1,0,-1.0469891866442382,-0.2515218085653404,-0.9601471325051368,-0.5560474195249003,-1.015233632597527,-0.39619920613682225,-0.726483535314159,6,7,0,0,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,-1.3218564609349557,1,1,1,1.1507865588914878,0.4020648687662061,-0.6463150488057398,-0.029216544754801007,-0.45841292582040266,1,0,0,1,1,1,1,1,0.06295188147544474,0.751571118451196,0.8218433904268344,0.546176755272979,1.3249264608898919,-1.1136410118440407,-0.726483535314159,10,10,10,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
1,0,-0.5490433467757753,1,0,0,-0.7251915298123972,-1.4557521110500562,-0.6463150488057398,-0.029216544754801007,-0.45841292582040266,0,0,1,1,1,1,1,1,1.172892949595128,-0.2515218085653404,0.8218433904268344,-0.5560474195249003,-1.015233632597527,-1.1136410118440407,0.2807466119398224,8,9,10,1,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
